ID       A1          A2      A3      A4      Midterm  Final
                   35      35      35      30       30     100
   133502          25    14.5    31.5      30     19.5      60
   154741           5       0       5      17       17    69.5
   157880          34      15      35      30       18    76.5
   158140          25      11       0       0       12       0
   188848        17.5      11       0       0        0       0
   194873          22       0       0       0       12       0
   201091           9       0      15      30     16.5    57.5
   202366          14       0      18       0       12      53
   202726        26.5      35      21      25       19    57.5
   209064        33.5      10      35    22.5     16.5      84
   214859          32      35      34      28     21.5      68
   223283           0       0       0       0       13       0
   228803        29.5    24.5      25      24       20      89
   231786          34       0       0       0       14       0
    47991          34      13      26      30     17.5    70.5
   240485          21      15      10      10     11.5       0
   243288          30      14      33       0     14.5       0
   249056        24.5      18      15    27.5       14      60
   251162        33.5      26      35      30     13.5      62
   251992        30.5       4       0       0        0       0
   253696        34.5      35      34      30     17.5      71
   254308        14.5       0       0       0     14.5       0
      345           0       7       0       0       20       0
      951        15.5       7       0       0       13      37
     3608          18      10       0       0     13.5    20.5
     3962        27.5      34      30      15     20.5      56
     4524        33.5      28      35      28       13    34.5
     8785          24    24.5    24.5      27       16    64.5
    10063          35       0      35      30     23.5      82
    17558          34      33      33      30     17.5    77.5
    25686        11.5       4       0       0       11       0
    26724          34      14    28.5      28       22    53.5
    27593          35    34.5      34      30       23      89
    30309        33.5      11      35      30     25.5      76
    31674           0       0       0       0        0       0
    32963        33.5    30.5      30      30       21      81
    33041          27      15    33.5      30     16.5       0
    33241        26.5    23.5      20      30       21    68.5
    34410        30.5      35      35      30     19.5    72.5
    34424        33.5      26       0       0     14.5       0
    36487          30       8       8      11       21      80
    36806        33.5      27      35      30       17      86
    37036          33      35      35      30     14.5    64.5
    39182        25.5      10      15      15       24      60
    39333        34.5    22.5    33.5      29     15.5      45
    39792          34      34      35      30     25.5    59.5
    39954        34.5      34      35      30     22.5    75.5
    42168          12       3       4       0     13.5       0
    44658        34.5      13    16.5      30       14    53.5
    46482          34    34.5    33.5      30     17.5       0
    47503        34.5    17.5      28      30     21.5    58.5
    49474          35      35      34      30     23.5      83
    54480        30.5      15      31      30       15      71
    77455           8       0       0       0       14       0
    78099          35    34.5       0       0     18.5       0
    78608           0      14       0       0     11.5       0
    27760          25    14.5    31.5      30     19.5      60
    48999           5       0       5      17       17    69.5
    52138          34      15      35      30       18    76.5
    52398          25      11       0       0       12       0
    83106        17.5      11       0       0        0       0
    89131          22       0       0       0       12       0
    95349           9       0      15      30     16.5    57.5
    96624          14       0      18       0       12      53
    96984        26.5      35      21      25       19    57.5
   103322        33.5      10      35    22.5     16.5      84
   109117          32      35      34      28     21.5      68
   117541           0       0       0       0       13       0
   123061        29.5    24.5      25      24       20      89
   126044          34       0       0       0       14       0
   199113          34      13      26      30     17.5    70.5
   134743          21      15      10      10     11.5       0
   137546          30      14      33       0     14.5       0
   143314        24.5      18      15    27.5       14      60
   145420        33.5      26      35      30     13.5      62
   146250        30.5       4       0       0        0       0
   147954        34.5      35      34      30     17.5      71
   148566        14.5       0       0       0     14.5       0
   151467           0       7       0       0       20       0
   152073        15.5       7       0       0       13      37
   154730          18      10       0       0     13.5    20.5
   155084        27.5      34      30      15     20.5      56
   155646        33.5      28      35      28       13    34.5
   159907          24    24.5    24.5      27       16    64.5
   161185          35       0      35      30     23.5      82
   168680          34      33      33      30     17.5    77.5
   176808        11.5       4       0       0       11       0
   177846          34      14    28.5      28       22    53.5
   178715          35    34.5      34      30       23      89
   181431        33.5      11      35      30     25.5      76
   182796           0       0       0       0        0       0
   184085        33.5    30.5      30      30       21      81
   184163          27      15    33.5      30     16.5       0
   184363        26.5    23.5      20      30       21    68.5
   185532        30.5      35      35      30     19.5    72.5
   185546        33.5      26       0       0     14.5       0
   187609          30       8       8      11       21      80
   187928        33.5      27      35      30       17      86
   188158          33      35      35      30     14.5    64.5
   190304        25.5      10      15      15       24      60
   190455        34.5    22.5    33.5      29     15.5      45
   190914          34      34      35      30     25.5    59.5
   191076        34.5      34      35      30     22.5    75.5
   193290          12       3       4       0     13.5       0
   195780        34.5      13    16.5      30       14    53.5
   197604          34    34.5    33.5      30     17.5       0
   198625        34.5    17.5      28      30     21.5    58.5
   200596          35      35      34      30     23.5      83
   205602        30.5      15      31      30       15      71
   228577           8       0       0       0       14       0
   229221          35    34.5       0       0     18.5       0
   229730           0      14       0       0     11.5       0
